Va	Vb	Vc	Ia	Ib	Ic
0.147433497	0.860148069	0.845356523	0.562786572	0.15310263	0.150748251
0.480738896	0.405616299	0.877308355	0.575098148	0.53260648	0.170521518
0.873834563	0.055356989	0.871267863	0.168342714	0.654925017	0.164382152
0.877779841	0.448215242	0.433080051	0.170590645	0.591139277	0.558399154
0.845281774	0.141804024	0.860909277	0.149707252	0.564644668	0.153683472
0.876817124	0.883511068	0.040849665	0.171112189	0.175372612	0.692943011
0.855462082	0.102875545	0.079091828	0.14944055	0.643422708	0.62352322
0.436234424	0.87737185	0.454307413	0.576400919	0.170534126	0.609817264
0.092798843	0.09966792	0.841741736	0.629384222	0.604414173	0.134939636
0.146139022	0.131933617	0.826238174	0.601754766	0.572755633	0.119526367
0.083487086	0.868876783	0.084770253	0.660390509	0.162668521	0.672957758
0.099810851	0.08122002	0.869215337	0.669013682	0.657018223	0.162667778
0.877266562	0.448692479	0.439474891	0.17050779	0.559758885	0.527727836
0.877819051	0.437339795	0.44449261	0.17055759	0.59194774	0.562697947
0.877432385	0.462847633	0.420690294	0.170628594	0.609502479	0.572921964
0.127596728	0.308271048	0.212530033	0.623531916	0.623898903	0.620226538
0.882637721	0.027580646	0.027374073	0.175479647	0.694882482	0.694783186
0.080098687	0.86894935	0.093393713	0.658699907	0.162743577	0.670136563
0.826685937	0.265880721	0.274290934	0.11868926	0.608982353	0.583092552
0.013872943	0.014256694	0.013876373	0.696816508	0.69711827	0.696066816
0.860972839	0.844411566	0.141740775	0.152883329	0.148963915	0.564528962
0.881645206	5.4978E-06	0.873627408	0.174769416	0.699357583	0.170094691
0.078027426	0.081383491	0.869008977	0.67859281	0.665946528	0.162480423
0.074626562	0.855631466	0.091449189	0.625984787	0.149373704	0.645545628
0.419768026	0.87755304	0.47029471	0.52089078	0.17065889	0.559686351
0.415511902	0.877548737	0.462064466	0.589670052	0.170767631	0.626194663
0.881481511	0.027637813	0.02751428	0.175448395	0.694299548	0.694931107
0.541010241	0.877412327	0.56438046	0.535221755	0.170572951	0.564223806
0.868534537	0.865857367	0.077436724	0.160133587	0.161519948	0.623140103
0.121527758	0.111217251	0.145351851	0.616450643	0.614213472	0.615357729
0.846552902	0.15398341	0.858529948	0.150868078	0.560835708	0.151522438
0.855438349	0.102886012	0.078891177	0.149316571	0.643350594	0.623579008
0.045103639	0.87197568	0.874314864	0.659043528	0.165248829	0.168150314
0.470040849	0.41174395	0.877692999	0.590649648	0.551446284	0.170613889
0.01464082	0.014689028	0.882004956	0.696862158	0.697393761	0.175334498
0.044529363	0.872521265	0.873977038	0.659292141	0.164951729	0.167919005
0.014209188	0.881356504	0.014228218	0.697224643	0.175489989	0.69703761
0.865635375	0.081503366	0.867167274	0.161505605	0.621401107	0.159322976
0.877288009	0.462460332	0.42096142	0.17054569	0.608608628	0.572148437
0.873890122	0.055344584	0.871671264	0.168141474	0.654917985	0.164511837
