Va	Vb	Vc	Ia	Ib	Ic
0.883401567	0.013706703	0.875705096	0.175141421	0.697336594	0.170519481
0.855245847	0.064166815	0.077932128	0.148855249	0.653410932	0.632406252
0.844084848	0.133724094	0.863346948	0.148505115	0.567775841	0.155772327
0.15435817	0.143206695	0.094470689	0.616843822	0.616290726	0.615115496
0.866631354	0.095535805	0.867310198	0.16227965	0.617279793	0.159334733
0.054597799	0.054238345	0.882305652	0.689927369	0.690519218	0.175475204
0.841270995	0.083365283	0.102205721	0.134761291	0.631387162	0.606063282
0.045508512	0.048694143	0.051606651	0.657404453	0.658298387	0.658987125
0.757999963	0.761346808	0.759410424	0.384091337	0.383968119	0.384674092
0.099708199	0.841754159	0.092666093	0.60432387	0.134829843	0.629769075
0.84159729	0.083383893	0.102209563	0.134858093	0.631141461	0.606260439
0.826714407	0.268791058	0.270827168	0.118675638	0.609212065	0.583252063
0.432532156	0.877499595	0.448216836	0.558111771	0.170565665	0.590821593
0.131873234	0.82597216	0.149839598	0.57576494	0.118998195	0.604138342
0.883974716	0.027331797	0.876582312	0.175649786	0.695357924	0.170930694
0.869131648	0.090033744	0.076504982	0.162665337	0.672007456	0.659822276
0.432581799	0.877656535	0.448287398	0.558143161	0.170751286	0.591040977
0.249822648	0.242658717	0.826092122	0.607415462	0.58120403	0.119036403
0.126110187	0.110595713	0.147010898	0.615454259	0.615216829	0.615056236
0.86889161	0.081120853	0.078023877	0.162637308	0.672412294	0.661647554
0.85773145	0.130444007	0.862733492	0.15670562	0.586448887	0.154445659
0.047152186	0.871582023	0.874982376	0.656974055	0.164515614	0.168122997
0.825518954	0.265829933	0.277402574	0.118506812	0.611749774	0.586260128
0.083394038	0.102165265	0.84127261	0.630706696	0.605728717	0.134786221
0.459037865	0.425688738	0.877294328	0.575447159	0.539351019	0.170576059
0.470293948	0.419810529	0.877590716	0.559599525	0.520943643	0.170581591
0.877437532	0.450423814	0.426999281	0.170490113	0.626367234	0.593212652
0.877322049	0.469808222	0.415505455	0.170605989	0.575400809	0.536089159
0.866501382	0.865692666	0.104043461	0.159281801	0.162485405	0.615209429
0.100306207	0.841745245	0.114027759	0.600524876	0.135123829	0.625549902
0.054305921	0.881769763	0.054606062	0.690600608	0.175453459	0.690235815
0.087958974	0.079480825	0.868695556	0.672531632	0.660495643	0.162668191
0.11144982	0.864668634	0.855826628	0.592134059	0.156335173	0.155507721
0.484803444	0.392950586	0.877501047	0.625426275	0.58250237	0.17062738
0.054604175	0.054201788	0.882752577	0.690291797	0.690597403	0.175663455
0.864407602	0.856901369	0.130293941	0.15535935	0.157304874	0.586524961
0.877197709	0.447824712	0.432905836	0.170285251	0.590958859	0.558563372
0.846134445	0.141774568	0.862103629	0.150040347	0.564589861	0.153955657
