Va	Vb	Vc	Ia	Ib	Ic
0.882508621	0.054747605	0.054235529	0.175742742	0.690203858	0.690371155
0.466019679	0.424420686	0.877290748	0.60819102	0.571568297	0.17055226
0.841582843	0.0833977	0.102216847	0.134862945	0.631179963	0.606278612
0.877621314	0.438335263	0.443465619	0.170683182	0.591422291	0.56172168
0.044913963	0.049201687	0.051551946	0.657821124	0.658322095	0.658487601
0.824947506	0.823041232	0.825065808	0.29855359	0.298587284	0.298171471
0.070706457	0.051363887	0.082406341	0.673359843	0.672641154	0.674782719
0.883702134	0.040849955	0.876127635	0.17575192	0.692907606	0.170713993
0.20820687	0.826683631	0.217745495	0.580310714	0.118950028	0.608881653
0.876099577	0.882932441	0.027316605	0.170566457	0.175814316	0.694976383
0.855002797	0.111412815	0.865034441	0.154969102	0.591977702	0.156025737
0.876902114	0.483104394	0.47012011	0.1707519	0.561289391	0.531987357
0.825630021	0.278199482	0.28812146	0.118311526	0.610828168	0.582973905
0.10288147	0.133266596	0.180006982	0.617685751	0.62100315	0.621605156
0.869109279	0.099001707	0.080898841	0.162684446	0.669485829	0.657225579
0.439468896	0.877309378	0.448757379	0.527701912	0.170585149	0.559780218
0.103104079	0.099300258	0.841651319	0.627729808	0.60257272	0.134944246
0.470385132	0.419826178	0.877701503	0.559714762	0.521038184	0.17080418
0.855341463	0.102878258	0.079133154	0.149131873	0.643410727	0.623566918
0.045103639	0.87197568	0.874314864	0.659043528	0.165248829	0.168150314
0.874398881	0.06524223	0.871494088	0.168459822	0.6527221	0.164750172
0.414813235	0.877374205	0.474470228	0.569651664	0.170544823	0.608821066
0.014062973	0.881440903	0.014338824	0.697259528	0.175420797	0.697075123
0.877389746	0.483676168	0.400203673	0.170613194	0.608646752	0.566067153
0.252689171	0.24311883	0.826031895	0.608115894	0.582219639	0.119042509
0.862920252	0.856636746	0.130394763	0.15494173	0.156911586	0.586424806
0.470184662	0.419699995	0.877364982	0.559648703	0.521049318	0.170794159
0.066157425	0.078678312	0.855874595	0.653238398	0.6335012	0.14949074
0.875803821	0.883290336	0.013707254	0.170385397	0.17531509	0.697343494
0.881564833	0.041096671	0.040888452	0.175468392	0.692816943	0.692891635
0.130661606	0.110883819	0.154053395	0.61564609	0.614180855	0.614979927
0.429529001	0.877367064	0.45948686	0.524439605	0.170586047	0.559732232
0.882451587	0.0000055	0.876416276	0.175107196	0.699369574	0.170622256
0.866979455	0.104019602	0.866398522	0.16283405	0.615247422	0.159135573
0.432717509	0.878026211	0.448513848	0.558352933	0.170522212	0.591124524
0.446224435	0.877369192	0.444704672	0.576491326	0.170548341	0.606939602
0.480714677	0.401409295	0.877443176	0.590285614	0.547941826	0.17046456
0.06245718	0.062481482	0.062413219	0.638235832	0.638381272	0.638559903
0.07597568	0.871732235	0.875147587	0.650514374	0.164584703	0.168585489
0.825937093	0.237097694	0.247435946	0.118985628	0.611968135	0.581796637
0.43865506	0.438650337	0.877331513	0.626616862	0.596452696	0.170673469
0.877159403	0.448625015	0.439463303	0.170635418	0.559771947	0.527788392
0.340656162	0.82528455	0.342459745	0.586694744	0.118549694	0.614531569
0.058804828	0.03820415	0.077025407	0.679624613	0.67889767	0.680212713
0.083268938	0.299644244	0.27863886	0.620079782	0.620572277	0.617887677
0.04713199	0.870788119	0.873705591	0.656903146	0.164578941	0.167845991
0.874273788	0.076034314	0.870908564	0.168404876	0.65052524	0.164792173
0.47618723	0.413236297	0.877452727	0.609600351	0.569249054	0.170557871
0.080271053	0.855881246	0.104859256	0.62337222	0.149525238	0.642775292
0.065243528	0.871549973	0.874254171	0.652782986	0.164823174	0.168386799
0.438768965	0.44428789	0.877674136	0.593200943	0.563314755	0.170556907
0.877345329	0.459021617	0.425585874	0.170598453	0.575689471	0.53965224
0.44294334	0.44825402	0.87734686	0.606569736	0.576604838	0.170603101
0.87734892	0.459010499	0.425596633	0.170580336	0.575609344	0.539612727
0.077541299	0.080892738	0.868959316	0.678279303	0.666058766	0.162531953
0.485144751	0.393266681	0.878162089	0.625249851	0.582653593	0.170690972
0.42439668	0.877402209	0.465111777	0.573179882	0.170546478	0.609861907
0.083359072	0.868876693	0.084763456	0.660446402	0.162662622	0.672936096
0.067618553	0.067599392	0.067785206	0.636597809	0.636391013	0.636747133
0.099719624	0.841753602	0.09267047	0.604325278	0.134826365	0.62976984
0.8683434	0.865828663	0.077089683	0.160172988	0.161599721	0.623131586
0.480575737	0.401289314	0.877180812	0.589929099	0.547902738	0.170332481
0.045874236	0.048871779	0.051872429	0.657723432	0.658161327	0.659390824
0.438356829	0.438352087	0.876735091	0.626733776	0.596313341	0.170469029
0.059354314	0.063804498	0.063223679	0.652090023	0.652452525	0.65229981
0.871691075	0.874340622	0.047226138	0.164851385	0.168018872	0.657006418
0.054626568	0.054283383	0.881832131	0.689993866	0.690579907	0.175329302
0.877354553	0.44868694	0.439567761	0.170477926	0.559745097	0.527729125
0.877328399	0.437064183	0.446331541	0.170587494	0.575729897	0.546074209
0.07930193	0.082251714	0.86879505	0.677775046	0.665504599	0.162591371
0.877445146	0.480584167	0.405719564	0.170599628	0.575311293	0.532918093
0.877823897	0.459764532	0.429701956	0.170428209	0.559771652	0.524382087
0.877515038	0.484796741	0.392971242	0.170755188	0.625065366	0.58255062
0.883360215	0.054280854	0.876988053	0.175105669	0.690594039	0.170777959
0.862936359	0.857184197	0.130353938	0.15456314	0.156623927	0.586559906
