Va	Vb	Vc	Ia	Ib	Ic
0.882911704	0.054275021	0.875876696	0.174958145	0.69051774	0.170596229
0.845384558	0.137222727	0.861614474	0.148961873	0.566283935	0.154400753
0.845201858	0.133715962	0.864402173	0.148613267	0.567801875	0.155593777
0.876673757	0.877843585	0.877914864	0.170364339	0.17073211	0.17045788
0.00000485	0.882258302	0.00000488	0.699235263	0.175396853	0.699329006
0.077065447	0.86767188	0.864982785	0.62303215	0.160048988	0.160934201
0.877294424	0.458981682	0.425564596	0.170591998	0.575604042	0.539607725
0.303585506	0.826047726	0.294675538	0.590420883	0.118964585	0.618527071
0.438590659	0.444478889	0.877631589	0.593187216	0.563458995	0.170624616
0.438687912	0.438683214	0.877397367	0.626654397	0.596319977	0.170720773
0.866486736	0.095495732	0.86741545	0.16232968	0.617196201	0.159433218
0.884834329	0.013705932	0.877209189	0.175601649	0.697320667	0.17115793
0.877028189	0.480766699	0.401230818	0.170291469	0.589594885	0.547600695
0.873231208	0.874675311	0.874604822	0.188268615	0.189069438	0.189284058
0.863255915	0.845946699	0.137243752	0.154394316	0.149113447	0.566229204
0.877381004	0.462489316	0.420981211	0.170650067	0.608646959	0.572227159
0.876532883	0.883117388	0.013706198	0.170809238	0.175617565	0.697305007
0.877773419	0.484933147	0.393092917	0.170739004	0.625195904	0.582602738
0.40443594	0.878159983	0.473834239	0.586223212	0.170819696	0.625882941
0.401212203	0.876976128	0.480516935	0.548597461	0.170060421	0.590497393
0.826749389	0.187476116	0.195842275	0.118996286	0.613252548	0.581662667
0.092020271	0.074354431	0.857026145	0.645561606	0.625825845	0.149370511
0.864539565	0.854888719	0.11145699	0.155790597	0.154685164	0.591902093
0.572976843	0.877188189	0.544077057	0.537887221	0.170400785	0.564645967
0.877348856	0.459010395	0.425596818	0.170580349	0.575609286	0.5396127
0.125830513	0.111267576	0.152789996	0.615618747	0.612804787	0.614793187
0.045469176	0.048849006	0.052045815	0.657603142	0.658177031	0.659142818
0.877362675	0.469856425	0.415485655	0.170602382	0.575535896	0.536192945
0.45936841	0.429556027	0.877277576	0.559710288	0.524345751	0.17067424
0.497021277	0.511941945	0.877506326	0.560743151	0.531737189	0.17063465
0.072688958	0.855355717	0.081897345	0.627695634	0.149076945	0.647551901
0.86336653	0.856361988	0.123145499	0.155782316	0.15657403	0.588499646
0.082398706	0.07934048	0.868779224	0.675279829	0.66367573	0.16258742
0.874939594	0.076023875	0.870972889	0.168748419	0.65056125	0.16458234
0.080732045	0.855746308	0.104596819	0.623627534	0.149516953	0.643422684
0.856296037	0.091217445	0.074220883	0.149433502	0.645740299	0.625486384
0.869083817	0.082965295	0.074605187	0.162568243	0.673072477	0.659585627
0.874883006	0.076007979	0.871001422	0.168860198	0.650451726	0.164417899
0.080659408	0.855893938	0.105009332	0.623345464	0.149590119	0.642781543
0.044545521	0.872536399	0.874141415	0.659184038	0.165746008	0.168415898
0.437101351	0.446353374	0.877388847	0.575769494	0.546040671	0.170622337
0.84658714	0.846304911	0.847167289	0.257684038	0.256944245	0.257494382
0.099305895	0.841723499	0.10318919	0.602402221	0.13492219	0.627656638
0.871777064	0.874771762	0.065179958	0.164812805	0.168593852	0.652827237
0.438551034	0.877132188	0.438555711	0.596521859	0.170608518	0.626460453
0.843944347	0.846432771	0.845280784	0.256832838	0.256845547	0.257522461
0.153955062	0.860052488	0.845928551	0.560894849	0.152626065	0.151814673
0.872132732	0.874522477	0.047032944	0.165363508	0.168303018	0.658746863
0.87719741	0.438588024	0.438583304	0.170384641	0.626586245	0.59640907
0.881394923	0.027514567	0.027304668	0.175461154	0.694482616	0.695203388
0.142743059	0.826098355	0.149057463	0.576281891	0.119156844	0.605707635
0.862343178	0.84327695	0.133727441	0.155161899	0.147813491	0.567741287
0.410182227	0.87759075	0.480931418	0.51755707	0.1704969	0.559373593
0.027525012	0.881554817	0.027677972	0.695381042	0.174975327	0.694316929
0.100047878	0.131795157	0.173619584	0.616766384	0.621425628	0.618302992
0.103025955	0.099186755	0.841683731	0.627792251	0.602655077	0.134956995
0.423581835	0.87739074	0.465479231	0.57284079	0.170570916	0.609609506
0.43708247	0.446339627	0.877354731	0.575723974	0.546006175	0.17062359
0.883201392	0.054273965	0.87603068	0.175026222	0.690504442	0.170771445
0.825683755	0.277068733	0.279223756	0.118329153	0.611884771	0.583963088
0.042059969	0.040946059	0.041891666	0.692966621	0.693087613	0.693671277
0.088013842	0.866848485	0.866976021	0.619420363	0.159561653	0.162132256
0.43587908	0.877313909	0.448080034	0.54288229	0.170526017	0.575821196
0.874179249	0.872638792	0.873587163	0.189060037	0.188207818	0.188249872
0.865596296	0.077110453	0.86744163	0.161063307	0.623053812	0.15994571
0.027323392	0.876152548	0.883591455	0.695163528	0.170903616	0.175659606
0.054619133	0.054227585	0.881732949	0.689905352	0.690176423	0.175635487
0.860972839	0.844411566	0.141740775	0.152883329	0.148963915	0.564528962
0.875518967	0.883284861	0.013707536	0.170372207	0.175293373	0.697357191
0.448825569	0.439595987	0.877486459	0.559695274	0.527849009	0.170733062
0.856065012	0.079515277	0.071827934	0.149321773	0.647777758	0.627524747
0.095677733	0.867470804	0.866562938	0.617596568	0.159485478	0.162391003
0.126751759	0.293903455	0.199907584	0.621587282	0.623941995	0.623706138
0.856925598	0.123035443	0.863875793	0.156566443	0.588472123	0.15547926
0.855024206	0.068898601	0.071899414	0.149211654	0.64987245	0.629423037
0.826010587	0.823042099	0.82469249	0.299053536	0.298531918	0.298474735
0.11139731	0.865830778	0.856349118	0.592229819	0.156288904	0.155459738
0.841473309	0.10294189	0.098980973	0.134977886	0.627841451	0.602819173
0.00000484	0.00000491	0.881685956	0.699320263	0.699098075	0.175182334
0.00000549	0.875585481	0.885007651	0.699406059	0.170021238	0.175627597
0.00000549	0.874200728	0.882501928	0.699307116	0.170323759	0.174888353
0.139642497	0.825334086	0.147022632	0.574342139	0.118538096	0.601551704
0.863169425	0.863735575	0.863028299	0.218981514	0.219374386	0.219019853
