Va	Vb	Vc	Ia	Ib	Ic
0.00000488	0.881415599	0.00000487	0.699381412	0.175054802	0.699111454
0.103511125	0.841307233	0.125151903	0.598355606	0.135235665	0.623309436
0.079576049	0.869062986	0.092496979	0.658927171	0.162743281	0.670283405
0.874466454	0.047306669	0.871674189	0.168455976	0.656770382	0.164650169
0.864682086	0.863491449	0.864002706	0.219608588	0.219661644	0.219262615
0.567074431	0.877266043	0.553562096	0.537142043	0.170482851	0.565700196
0.862977831	0.863575503	0.862916776	0.218515974	0.219036385	0.219062868
0.881363309	0.0000048	0.00000487	0.17536706	0.699325596	0.699691893
0.484978982	0.393134571	0.877861362	0.625171437	0.582583426	0.170791467
0.041807177	0.040997794	0.041848886	0.693030006	0.692971422	0.693689286
0.06250793	0.062485676	0.062416478	0.638218191	0.638263476	0.638536453
0.877528669	0.474615379	0.479604073	0.170694758	0.561900022	0.532166114
0.439034912	0.878100576	0.43903963	0.596278473	0.17123506	0.626723896
0.044558111	0.871484672	0.874096749	0.659345279	0.164842032	0.167958945
0.868775412	0.083031766	0.075112049	0.162669363	0.673359573	0.661693665
0.876969577	0.480764479	0.401166145	0.170264929	0.589615006	0.547573205
0.876600183	0.883566741	0.04085545	0.170889231	0.175949209	0.693055063
0.876093708	0.883347682	0.027319485	0.170574236	0.175814005	0.695061313
0.462221272	0.415657462	0.877851896	0.62609128	0.589626539	0.17054078
0.05804224	0.045014037	0.07682274	0.675429802	0.674633096	0.67640415
0.877880174	0.87713279	0.877217549	0.171138191	0.170545453	0.170695984
0.074867632	0.074903606	0.075235059	0.634313398	0.634315004	0.634570205
0.107732608	0.864482004	0.855195582	0.593804811	0.157014849	0.154919993
0.84163414	0.11370843	0.100371977	0.135183091	0.625862111	0.600909568
0.062460366	0.062481486	0.062415037	0.638238312	0.638374879	0.638560914
0.499700082	0.516932718	0.877596378	0.559541414	0.530339264	0.170684683
0.469925529	0.415631945	0.877401016	0.575440462	0.536287325	0.170557015
0.055374957	0.871870945	0.874350739	0.654914124	0.164662892	0.168456207
0.424490344	0.877427104	0.464904123	0.573003906	0.17056228	0.609764729
0.883786009	0.04084465	0.875684902	0.175492035	0.6928394	0.170338251
0.438814787	0.438810142	0.877651163	0.626698424	0.596299539	0.170478988
0.102216098	0.841595875	0.083423951	0.606125235	0.134711998	0.631431472
0.403188707	0.877357362	0.484969846	0.564744871	0.170557553	0.607410781
0.435940839	0.877417589	0.44814802	0.542727717	0.170578302	0.575629747
0.877475436	0.480633534	0.405661517	0.17054477	0.575076412	0.532731706
0.062531049	0.062476859	0.062475431	0.638404931	0.638436538	0.638539728
0.480699707	0.401351405	0.877376487	0.590161664	0.548029527	0.170482698
0.876275168	0.883906127	0.027326353	0.170591824	0.175763883	0.695201477
0.123103266	0.86403746	0.855531693	0.588591207	0.155591379	0.156658809
0.075982435	0.871583799	0.874622528	0.650511181	0.164618578	0.168518237
0.402335189	0.877387454	0.486099783	0.56495221	0.170494925	0.607598854
0.841317538	0.102947771	0.099024599	0.134987669	0.627669435	0.602738231
0.045700349	0.048135826	0.054332997	0.655472032	0.656415477	0.655504782
0.079529823	0.869034007	0.092583148	0.658361402	0.162595929	0.67002394
0.083404217	0.102187493	0.841692321	0.631114536	0.605746675	0.13472808
0.866150565	0.095150258	0.867264432	0.162317894	0.617556516	0.15947095
0.877288415	0.440382803	0.443960308	0.170548299	0.608086795	0.577711548
0.866524577	0.095529801	0.867400683	0.162318608	0.617195633	0.159420236
0.864849009	0.855187005	0.111461586	0.156367771	0.155275889	0.592010756
0.868774443	0.076626749	0.080404695	0.16257574	0.676020246	0.66437097
